latitude,longitude,date,currentlevel,B02,B03,B04,B08,B11,B12,NDVI,IOI,CMI,currentlevel_ft
11.17528,77.05556,2013-11-04,29.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.90363
11.17528,77.05556,2014-01-04,29.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.31446000000001
11.17528,77.05556,2014-05-14,34.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.31004000000001
11.17528,77.05556,2015-01-04,21.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.5258
11.17528,77.05556,2015-05-14,29.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.70818000000001
11.17528,77.05556,2015-08-24,29.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.54413000000001
11.17528,77.05556,2015-11-04,29.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.21603
11.17528,77.05556,2016-08-24,33.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.68383
11.17528,77.05556,2017-01-04,32.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.09043000000001
11.17528,77.05556,2017-05-14,31.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.08902
11.17528,77.05556,2017-08-24,35.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.91773
11.17528,77.05556,2017-11-04,30.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.49703
11.17528,77.05556,2018-01-21,29.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.41289
11.17528,77.05556,2018-11-16,24.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.66268000000001
11.17528,77.05556,2019-01-29,27.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.48998
11.17528,77.05556,2019-05-29,31.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.64679000000001
11.17528,77.05556,2019-08-29,30.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.82513
11.17528,77.05556,2019-11-29,25.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.94368
11.17528,77.05556,2020-01-09,28.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.13047999999999
11.17528,77.05556,2020-08-24,30.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.18463
11.17528,77.05556,2020-11-29,30.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.82513
11.17528,77.05556,2021-01-09,30.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.52843000000001
10.64778,76.90944,2013-01-01,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2339
10.64778,76.90944,2013-01-04,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.076900000000002
10.64778,76.90944,2013-05-14,4.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.814420000000002
10.64778,76.90944,2013-08-24,3.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.84441
10.64778,76.90944,2014-01-04,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4678
10.64778,76.90944,2014-05-14,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.584750000000001
10.64778,76.90944,2015-01-04,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6576100000000005
10.64778,76.90944,2015-05-14,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.171100000000001
10.64778,76.90944,2015-11-04,7.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.11676
10.64778,76.90944,2016-05-14,2.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.66043
10.64778,76.90944,2016-08-24,3.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.40218
10.64778,76.90944,2016-11-04,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8587
10.64778,76.90944,2017-01-04,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7174
10.64778,76.90944,2017-05-14,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.076900000000002
10.64778,76.90944,2017-08-24,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.7802
10.64778,76.90944,2017-11-04,3.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.745980000000001
10.64778,76.90944,2018-01-21,4.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.50202
10.64778,76.90944,2019-01-29,1.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.39795
10.64778,76.90944,2019-05-29,4.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.912849999999999
10.64778,76.90944,2019-11-29,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2339
10.64778,76.90944,2020-01-09,1.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.39795
10.64778,76.90944,2020-08-24,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9058
10.64778,76.90944,2020-11-29,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2339
11.17917,76.75833,2013-01-01,5.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.504839999999998
11.17917,76.75833,2013-01-04,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.8885
11.17917,76.75833,2013-08-24,18.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.3547
11.17917,76.75833,2013-11-04,10.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33496
11.17917,76.75833,2014-01-04,7.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.656010000000002
11.17917,76.75833,2014-05-14,16.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.448899999999995
11.17917,76.75833,2014-08-24,19.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.58718999999999
11.17917,76.75833,2015-01-04,21.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.5258
